data,produto,categoria,quantidade,preco_unitario,cliente,regiao
2025-01-11,Estante O,Móveis,3,2212,Maria,Norte
2025-07-05,Fone C,Eletrônicos,4,2864,Fernanda,Sudeste
2025-12-05,Impressora I,Periféricos,3,4051,Pedro,Sudeste
2025-06-02,Estante O,Móveis,3,4519,Lucas,Sul
2025-10-05,Impressora I,Periféricos,1,3349,Bruno,Sudeste
2025-02-13,Impressora I,Periféricos,2,4602,Rafael,Sudeste
2025-04-01,Fone C,Eletrônicos,2,4350,Lucas,Centro-Oeste
2025-04-09,Celular A,Eletrônicos,3,4362,Pedro,Norte
2025-06-25,Cadeira Gamer M,Móveis,5,1298,Fernanda,Sul
2025-09-27,Headset G,Periféricos,4,1518,Fernanda,Norte
2025-03-25,Jaqueta S,Vestuário,5,3473,Bruno,Sudeste
2025-09-24,Mesa Escritório N,Móveis,4,3356,Rafael,Sudeste
2025-10-05,Celular A,Eletrônicos,2,2742,Pedro,Norte
2025-06-06,Boné V,Vestuário,4,3364,Pedro,Nordeste
2025-11-29,Fone C,Eletrônicos,5,2798,Lucas,Norte
2025-03-12,Armário P,Móveis,4,2145,João,Norte
2025-08-20,Webcam H,Periféricos,5,2022,Bruno,Sudeste
2025-08-06,Camisa R,Vestuário,4,2112,Camila,Sudeste
2025-02-24,Mouse Y,Periféricos,2,2911,Ana,Centro-Oeste
2025-09-08,Teclado Z,Periféricos,3,1407,Pedro,Sudeste
2025-12-01,Headset G,Periféricos,3,2395,Pedro,Sul
2025-01-06,Calça U,Vestuário,3,734,Carla,Sudeste
2025-09-12,Camisa R,Vestuário,3,2270,Carla,Sul
2025-10-12,Tablet D,Eletrônicos,2,4147,João,Sul
2025-03-27,Estante O,Móveis,3,2119,Bruno,Sudeste
2025-08-15,Monitor B,Eletrônicos,5,3644,Pedro,Sudeste
2025-02-13,Headset G,Periféricos,3,537,Lucas,Norte
2025-08-08,Jaqueta S,Vestuário,4,4694,Carla,Sudeste
2025-03-19,Celular A,Eletrônicos,5,922,Lucas,Sul
2025-07-08,Boné V,Vestuário,3,3582,Rafael,Sudeste
2025-07-28,Sofá Q,Móveis,1,154,João,Sul
2025-08-16,Cadeira Gamer M,Móveis,4,939,Maria,Norte
2025-03-16,Notebook X,Eletrônicos,3,4518,Rafael,Sul
2025-02-25,Mouse Y,Periféricos,4,3741,Pedro,Sul
2025-08-16,Mouse Y,Periféricos,3,257,Fernanda,Sul
2025-11-13,Fone C,Eletrônicos,5,4939,Rafael,Centro-Oeste
2025-03-01,Boné V,Vestuário,3,3169,Fernanda,Nordeste
2025-03-18,Notebook X,Eletrônicos,1,4603,Ana,Centro-Oeste
2025-04-02,Sofá Q,Móveis,2,4974,Pedro,Norte
2025-12-24,Jaqueta S,Vestuário,4,4651,Pedro,Sul
2025-06-15,Calça U,Vestuário,4,1925,Ana,Sul
2025-05-24,Estante O,Móveis,4,3577,Ana,Centro-Oeste
2025-08-26,Monitor B,Eletrônicos,2,2718,Carla,Sudeste
2025-01-04,Notebook X,Eletrônicos,1,1612,Pedro,Nordeste
2025-08-29,Impressora I,Periféricos,3,4805,Fernanda,Centro-Oeste
2025-10-01,Impressora I,Periféricos,1,4326,Bruno,Centro-Oeste
2025-03-05,Webcam H,Periféricos,3,144,Fernanda,Norte
2025-02-08,Impressora I,Periféricos,3,4561,Fernanda,Nordeste
2025-10-16,Celular A,Eletrônicos,1,2046,Carla,Sul
2025-03-15,Celular A,Eletrônicos,5,4390,Carla,Nordeste
2025-02-07,Calça U,Vestuário,5,2472,Rafael,Norte
2025-05-06,Camisa R,Vestuário,4,3800,Maria,Centro-Oeste
